new data done

Ultra simple LIDAR data grabber for RPLIDAR.
Version: 1.10.0
RPLIDAR S/N: BE9B9AF2C1EA98D4BEEB9CF031483517
Firmware Ver: 1.25
Hardware Rev: 5
RPLidar health status : 0
   theta: 4.94 Dist: 00279.00 Q: 47 
   theta: 15.69 Dist: 00278.00 Q: 47 
   theta: 27.33 Dist: 00277.00 Q: 47 
   theta: 38.22 Dist: 00276.00 Q: 47 
   theta: 49.72 Dist: 00275.00 Q: 47 
   theta: 60.23 Dist: 00273.00 Q: 47 
   theta: 71.02 Dist: 00273.00 Q: 47 
   theta: 83.00 Dist: 00272.00 Q: 47 
   theta: 93.77 Dist: 00272.00 Q: 47 
   theta: 103.78 Dist: 00271.00 Q: 47 
   theta: 115.41 Dist: 00271.00 Q: 47 
   theta: 126.80 Dist: 00270.00 Q: 47 
   theta: 137.06 Dist: 00271.00 Q: 47 
   theta: 148.06 Dist: 00270.00 Q: 47 
   theta: 159.45 Dist: 00271.00 Q: 47 
   theta: 168.64 Dist: 00000.00 Q: 0 
   theta: 170.59 Dist: 00271.00 Q: 47 
   theta: 178.94 Dist: 00000.00 Q: 0 
   theta: 189.22 Dist: 00000.00 Q: 0 
   theta: 199.50 Dist: 00000.00 Q: 0 
   theta: 209.80 Dist: 00000.00 Q: 0 
   theta: 235.78 Dist: 00322.00 Q: 47 
   theta: 244.58 Dist: 00319.00 Q: 47 
   theta: 253.77 Dist: 00316.00 Q: 47 
   theta: 262.97 Dist: 00311.00 Q: 47 
   theta: 272.12 Dist: 00308.00 Q: 47 
   theta: 281.81 Dist: 00306.00 Q: 47 
   theta: 291.00 Dist: 00302.00 Q: 47 
   theta: 300.42 Dist: 00301.00 Q: 47 
   theta: 309.38 Dist: 00299.00 Q: 47 
   theta: 318.30 Dist: 00296.00 Q: 47 
   theta: 327.84 Dist: 00294.00 Q: 47 
   theta: 336.80 Dist: 00292.00 Q: 47 
   theta: 346.59 Dist: 00289.00 Q: 47 
S  theta: 353.80 Dist: 00280.00 Q: 47 
   theta: 4.33 Dist: 00285.00 Q: 47 
   theta: 13.64 Dist: 00284.00 Q: 47 
   theta: 23.08 Dist: 00282.00 Q: 47 
   theta: 32.75 Dist: 00281.00 Q: 47 
   theta: 41.06 Dist: 00280.00 Q: 47 
   theta: 50.38 Dist: 00279.00 Q: 47 
   theta: 60.55 Dist: 00277.00 Q: 47 
   theta: 68.73 Dist: 00275.00 Q: 47 
   theta: 77.92 Dist: 00275.00 Q: 47 
   theta: 87.72 Dist: 00274.00 Q: 47 
   theta: 96.28 Dist: 00274.00 Q: 47 
   theta: 105.72 Dist: 00273.00 Q: 47 
   theta: 115.27 Dist: 00272.00 Q: 47 
   theta: 123.83 Dist: 00271.00 Q: 47 
   theta: 133.89 Dist: 00271.00 Q: 47 
   theta: 143.56 Dist: 00271.00 Q: 47 
   theta: 152.00 Dist: 00271.00 Q: 47 
   theta: 161.31 Dist: 00270.00 Q: 47 
   theta: 164.88 Dist: 07349.00 Q: 47 
