1581083568.696942 b'8578 1426\r\n'
1581083569.208883 b'8587 1415\r\n'
1581083569.716788 b'8593 1410\r\n'
1581083570.228828 b'8597 1407\r\n'
1581083570.740483 b'8600 1404\r\n'
1581083571.248796 b'8601 1403\r\n'
1581083571.7606862 b'8602 1401\r\n'
1581083572.272615 b'8603 1400\r\n'
1581083572.7806778 b'8603 1400\r\n'
1581083573.2926111 b'8604 1400\r\n'
1581083573.80456 b'8605 1399\r\n'
1581083574.312526 b'8604 1399\r\n'
1581083574.824488 b'8605 1399\r\n'
1581083575.33642 b'8605 1399\r\n'
1581083575.848331 b'8605 1399\r\n'
1581083576.3562791 b'8605 1398\r\n'
1581083576.868259 b'8606 1398\r\n'
1581083577.380215 b'8605 1399\r\n'
1581083577.888227 b'8605 1398\r\n'
1581083578.399849 b'8605 1398\r\n'
1581083578.911916 b'8605 1399\r\n'
1581083579.4198642 b'8606 1398\r\n'
1581083579.931968 b'8605 1398\r\n'
1581083580.444007 b'8605 1398\r\n'
1581083580.9519942 b'8606 1398\r\n'
1581083581.463955 b'8605 1398\r\n'
1581083581.975849 b'8606 1398\r\n'
1581083582.487794 b'8606 1398\r\n'
1581083582.99582 b'8605 1399\r\n'
1581083583.507752 b'8605 1398\r\n'
1581083584.019639 b'8606 1398\r\n'
1581083584.5277178 b'8605 1399\r\n'
1581083585.039367 b'8606 1398\r\n'
1581083585.551328 b'8605 1398\r\n'
1581083586.0595992 b'8605 1399\r\n'
1581083586.571551 b'8606 1398\r\n'
1581083587.0834718 b'8605 1398\r\n'
1581083587.5914502 b'8605 1399\r\n'
1581083588.103062 b'8606 1397\r\n'
1581083588.615347 b'8605 1399\r\n'
1581083589.1269472 b'8605 1398\r\n'
